"division","Familie","species_GermanSL","forest","ind_L","ind_T","ind_K","ind_F","ind_R","ind_N","sub_soil","sub_rock","sub_wood","sub_bark","hemeroby","growth_form","stems","shoot_length","life_form","life_strat","life_strat2","protonema","hyalin_hairp","dominants","dist_gamet","dist_gamet2","seta_length","capsule_pos","capsule_peris","spores","ornament","fruit_freq","fruit_seas","veg_tub","veg_gem","veg_bulb","veg_bran","veg_leav"
"Anthocerotophyta","Anthocerotaceae","Anthoceros agrestis","","9","Ind","Ind","5","5",4,1,0,0,0,6,"P","thalloid",10,"annual","a","",0,0,0,"Monoicous","","","erect",1,52,"papillose","common","summer to winter",0,0,0,0,0
"Bryophyta","Amblystegiaceae","Amblystegium confervoides","M1.1","5","3","6","4","8",4,0,1,0,0,3,"P","procumbent",3,"mat","p","",0,0,0,"Monoicous","Autoicous","2","inclined",1,9,"grained","frequent","summer",0,0,0,0,0
"Bryophyta","Amblystegiaceae","Amblystegium fluviatile","M2.1","Ind","3","4","9","5",4,0,1,1,1,3,"P","procumbent",3,"mat","p","",0,0,0,"Dioicous","","2","inclined",1,15,"grained","rare","spring to summer",0,0,0,0,0
"Bryophyta","Amblystegiaceae","Amblystegium humile","M2.2","5","5","5","6","4",7,1,0,1,0,3,"P","procumbent to ascending",8,"turf","c","p",0,0,0,"Monoicous","Autoicous","3","inclined",1,15,"grained","rare","summer",0,0,0,0,0
"Bryophyta","Amblystegiaceae","Amblystegium radicale","M2.1","5","6","5","6","Ind",5,1,0,1,0,4,"P","procumbent to ascending",4,"turf","c","",0,0,0,"Monoicous","Autoicous","3","inclined",1,14,"grained","common","summer",0,0,0,0,0
"Bryophyta","Amblystegiaceae","Amblystegium serpens","M2.1","Ind","Ind","Ind","Ind","Ind",6,1,1,1,1,6,"P","procumbent to erect",4,"turf","p","",0,0,0,"Monoicous","Autoicous","3","inclined",1,11.5,"grained","common","spring to autumn",0,0,0,0,0
"Bryophyta","Amblystegiaceae","Amblystegium serpens var. juratzkanum","M1.1","5","Ind","5","6","4",NA,0,0,1,1,6,"P","procumbent to erect",4,"turf","p","",0,0,0,"Monoicous","Autoicous","3","inclined",1,11.5,"grained","common","spring to autumn",0,0,0,0,0
"Bryophyta","Amblystegiaceae","Amblystegium subtile","M1.1","7","4","7","5","6",NA,0,1,0,1,2,"P","decumbent",0.5,"cushion","c","",0,0,0,"Monoicous","Autoicous","2","erect to inclined",1,13,"papillose","common","summer to autumn",0,0,0,0,0
"Bryophyta","Amblystegiaceae","Amblystegium tenax","M2.1","Ind","Ind","5","8","6",4,0,1,1,0,3,"P","procumbent to decumbent",8,"mat","p","",0,0,0,"Monoicous","Autoicous","3","inclined",1,18,"grained","frequent","spring to summer",0,0,0,0,0
"Bryophyta","Amblystegiaceae","Amblystegium varium","M2.1","5","5","5","5","6",7,1,1,1,0,5,"P","procumbent",1,"mat","p","",0,0,0,"Monoicous","Autoicous","2","inclined",1,13,"papillose","occasional","spring",0,0,0,0,0
"Bryophyta","Amblystegiaceae","Calliergon cordifolium","M2.1","7","4","6","8","4",5,1,0,1,0,4,"P","procumbent to ascending",15,"turf","p","c",0,0,0,"Monoicous","Autoicous","3","inclined",1,13,"grained","rare","spring to summer",0,0,0,0,0
"Bryophyta","Amblystegiaceae","Calliergon giganteum","","8","3","5","8","8",3,1,0,0,0,3,"P","procumbent to ascending",20,"turf","p","c",0,0,0,"Dioicous","","3","inclined",1,18,"papillose","very rare","summer",0,0,0,0,0
"Bryophyta","Amblystegiaceae","Calliergon sarmentosum","","9","1","6","8","3",2,1,1,0,0,2,"P","erect",12,"turf","p","c",0,0,0,"Dioicous","","3","inclined",1,16,"papillose","very rare","summer",0,0,0,0,0
"Bryophyta","Amblystegiaceae","Calliergon stramineum","M2.2","8","2","6","8","2",2,1,0,0,0,4,"P","ascending",25,"turf","p","c",0,0,0,"Dioicous","","3","inclined",1,14,"grained","rare","summer",0,0,0,0,0
"Bryophyta","Amblystegiaceae","Campylium calcareum","M2.1","4","5","5","4","8",NA,1,1,0,0,4,"P","procumbent",1,"turf","p","",0,0,0,"Monoicous","Autoicous","2","inclined",1,13,"grained","frequent","summer",0,0,0,0,0
"Bryophyta","Amblystegiaceae","Campylium chrysophyllum","M2.1","9","2","6","2","8",2,1,1,0,0,3,"P","procumbent to ascending",6,"weft","p","",0,0,0,"Dioicous","","3","inclined",1,14,"grained","rare","spring",0,0,0,0,0
"Bryophyta","Amblystegiaceae","Campylium halleri","M1.2","7","2","6","6","9",2,0,1,0,0,NA,"P","procumbent to erect",0.07,"turf","p","",0,0,0,"Dioicous","","3","inclined",1,11.5,"grained","rare","summer",0,0,0,0,0
"Bryophyta","Amblystegiaceae","Campylium stellatum","M2.2","Ind","Ind","Ind","Ind","Ind",2,1,0,1,0,3,"P","erect",10,"turf","p","c",0,0,0,"Dioicous","","3","inclined",1,15,"grained","rare","spring to summer",0,0,0,0,0
"Bryophyta","Amblystegiaceae","Campylium stellatum var. protensum","M2.1","8","3","6","6","9",3,1,1,0,0,3,"O","procumbent",10,"turf","p","c",0,0,0,"Dioicous","","3","inclined",1,18.5,"grained","very rare","summer",0,0,0,0,0
