taxonIdVerbatim,scientificNameVerbatim,resolvedTaxonId,resolvedTaxonName,parentTaxonId,family,phylum,traitIdVerbatim,traitNameVerbatim,bucketId,bucketName,counts,datasetId,numberOfRecords,curator,accessDate,comment,relationName,resolvedExternalId,resolvedName,resolvedRank,resolvedCommonNames,resolvedPath,resolvedPathIds,resolvedPathNames,resolvedExternalUrl,resolveKingdomName,resolvedPhylumName,resolvedFamilyName,providedTraitName,resolvedTraitName
,Acanthixalus sonjae,,,,,,,Ter,,,,https://opentraits.org/datasets/amphi-bio,1,https://opentraits.org/members/alexander-keller,2022-08-11,,HAS_ACCEPTED_NAME,COL:64CQQ,Acanthixalus sonjae,species,,Biota | Animalia | Chordata | Amphibia | Anura | Hyperoliidae | Acanthixalus | Acanthixalus sonjae,COL:5T6MX | COL:N | COL:CH2 | COL:PH | COL:PW | COL:624W2 | COL:M2Q | COL:64CQQ,unranked | kingdom | phylum | class | order | family | genus | species,https://www.catalogueoflife.org/data/taxon/64CQQ,Animalia,Chordata,Hyperoliidae,Ter,Ter
,Acanthixalus sonjae,,,,,,,Aqu,,,,https://opentraits.org/datasets/amphi-bio,1,https://opentraits.org/members/alexander-keller,2022-08-11,,HAS_ACCEPTED_NAME,COL:64CQQ,Acanthixalus sonjae,species,,Biota | Animalia | Chordata | Amphibia | Anura | Hyperoliidae | Acanthixalus | Acanthixalus sonjae,COL:5T6MX | COL:N | COL:CH2 | COL:PH | COL:PW | COL:624W2 | COL:M2Q | COL:64CQQ,unranked | kingdom | phylum | class | order | family | genus | species,https://www.catalogueoflife.org/data/taxon/64CQQ,Animalia,Chordata,Hyperoliidae,Aqu,Aqu
,Acanthixalus sonjae,,,,,,,Arb,,,,https://opentraits.org/datasets/amphi-bio,1,https://opentraits.org/members/alexander-keller,2022-08-11,,HAS_ACCEPTED_NAME,COL:64CQQ,Acanthixalus sonjae,species,,Biota | Animalia | Chordata | Amphibia | Anura | Hyperoliidae | Acanthixalus | Acanthixalus sonjae,COL:5T6MX | COL:N | COL:CH2 | COL:PH | COL:PW | COL:624W2 | COL:M2Q | COL:64CQQ,unranked | kingdom | phylum | class | order | family | genus | species,https://www.catalogueoflife.org/data/taxon/64CQQ,Animalia,Chordata,Hyperoliidae,Arb,Arb
,Acanthixalus sonjae,,,,,,,Noc,,,,https://opentraits.org/datasets/amphi-bio,1,https://opentraits.org/members/alexander-keller,2022-08-11,,HAS_ACCEPTED_NAME,COL:64CQQ,Acanthixalus sonjae,species,,Biota | Animalia | Chordata | Amphibia | Anura | Hyperoliidae | Acanthixalus | Acanthixalus sonjae,COL:5T6MX | COL:N | COL:CH2 | COL:PH | COL:PW | COL:624W2 | COL:M2Q | COL:64CQQ,unranked | kingdom | phylum | class | order | family | genus | species,https://www.catalogueoflife.org/data/taxon/64CQQ,Animalia,Chordata,Hyperoliidae,Noc,Noc
,Acanthixalus sonjae,,,,,,,Body_size_mm,,,,https://opentraits.org/datasets/amphi-bio,1,https://opentraits.org/members/alexander-keller,2022-08-11,,HAS_ACCEPTED_NAME,COL:64CQQ,Acanthixalus sonjae,species,,Biota | Animalia | Chordata | Amphibia | Anura | Hyperoliidae | Acanthixalus | Acanthixalus sonjae,COL:5T6MX | COL:N | COL:CH2 | COL:PH | COL:PW | COL:624W2 | COL:M2Q | COL:64CQQ,unranked | kingdom | phylum | class | order | family | genus | species,https://www.catalogueoflife.org/data/taxon/64CQQ,Animalia,Chordata,Hyperoliidae,Body_size_mm,Body_size_mm
,Acanthixalus sonjae,,,,,,,Litter_size_min_n,,,,https://opentraits.org/datasets/amphi-bio,1,https://opentraits.org/members/alexander-keller,2022-08-11,,HAS_ACCEPTED_NAME,COL:64CQQ,Acanthixalus sonjae,species,,Biota | Animalia | Chordata | Amphibia | Anura | Hyperoliidae | Acanthixalus | Acanthixalus sonjae,COL:5T6MX | COL:N | COL:CH2 | COL:PH | COL:PW | COL:624W2 | COL:M2Q | COL:64CQQ,unranked | kingdom | phylum | class | order | family | genus | species,https://www.catalogueoflife.org/data/taxon/64CQQ,Animalia,Chordata,Hyperoliidae,Litter_size_min_n,Litter_size_min_n
,Acanthixalus sonjae,,,,,,,Litter_size_max_n,,,,https://opentraits.org/datasets/amphi-bio,1,https://opentraits.org/members/alexander-keller,2022-08-11,,HAS_ACCEPTED_NAME,COL:64CQQ,Acanthixalus sonjae,species,,Biota | Animalia | Chordata | Amphibia | Anura | Hyperoliidae | Acanthixalus | Acanthixalus sonjae,COL:5T6MX | COL:N | COL:CH2 | COL:PH | COL:PW | COL:624W2 | COL:M2Q | COL:64CQQ,unranked | kingdom | phylum | class | order | family | genus | species,https://www.catalogueoflife.org/data/taxon/64CQQ,Animalia,Chordata,Hyperoliidae,Litter_size_max_n,Litter_size_max_n
,Acanthixalus sonjae,,,,,,,Reproductive_output_y,,,,https://opentraits.org/datasets/amphi-bio,1,https://opentraits.org/members/alexander-keller,2022-08-11,,HAS_ACCEPTED_NAME,COL:64CQQ,Acanthixalus sonjae,species,,Biota | Animalia | Chordata | Amphibia | Anura | Hyperoliidae | Acanthixalus | Acanthixalus sonjae,COL:5T6MX | COL:N | COL:CH2 | COL:PH | COL:PW | COL:624W2 | COL:M2Q | COL:64CQQ,unranked | kingdom | phylum | class | order | family | genus | species,https://www.catalogueoflife.org/data/taxon/64CQQ,Animalia,Chordata,Hyperoliidae,Reproductive_output_y,Reproductive_output_y
,Acanthixalus sonjae,,,,,,,Offspring_size_min_mm,,,,https://opentraits.org/datasets/amphi-bio,1,https://opentraits.org/members/alexander-keller,2022-08-11,,HAS_ACCEPTED_NAME,COL:64CQQ,Acanthixalus sonjae,species,,Biota | Animalia | Chordata | Amphibia | Anura | Hyperoliidae | Acanthixalus | Acanthixalus sonjae,COL:5T6MX | COL:N | COL:CH2 | COL:PH | COL:PW | COL:624W2 | COL:M2Q | COL:64CQQ,unranked | kingdom | phylum | class | order | family | genus | species,https://www.catalogueoflife.org/data/taxon/64CQQ,Animalia,Chordata,Hyperoliidae,Offspring_size_min_mm,Offspring_size_min_mm
,Acanthixalus sonjae,,,,,,,Offspring_size_max_mm,,,,https://opentraits.org/datasets/amphi-bio,1,https://opentraits.org/members/alexander-keller,2022-08-11,,HAS_ACCEPTED_NAME,COL:64CQQ,Acanthixalus sonjae,species,,Biota | Animalia | Chordata | Amphibia | Anura | Hyperoliidae | Acanthixalus | Acanthixalus sonjae,COL:5T6MX | COL:N | COL:CH2 | COL:PH | COL:PW | COL:624W2 | COL:M2Q | COL:64CQQ,unranked | kingdom | phylum | class | order | family | genus | species,https://www.catalogueoflife.org/data/taxon/64CQQ,Animalia,Chordata,Hyperoliidae,Offspring_size_max_mm,Offspring_size_max_mm
