Trait_category,Number_of_species,Datasets
UNCATEGORIZED_TRAIT,22,"https://opentraits.org/datasets/amp |  https://opentraits.org/datasets/amphi-bio |  https://opentraits.org/datasets/arthropod-species-traits |  https://opentraits.org/datasets/austraits |  https://opentraits.org/datasets/australian-birds |  https://opentraits.org/datasets/avianhwi |  https://opentraits.org/datasets/avonet |  https://opentraits.org/datasets/bennett-2018 |  https://opentraits.org/datasets/bernhardt-2018 |  https://opentraits.org/datasets/betydb |  https://opentraits.org/datasets/beukhof-2019 |  
https://opentraits.org/datasets/bien |  https://opentraits.org/datasets/bland-2017 |  https://opentraits.org/datasets/brot |  https://opentraits.org/datasets/catching-crabs |  https://opentraits.org/datasets/columbian-anurans |  https://opentraits.org/datasets/compadre |  https://opentraits.org/datasets/coral-traits |  https://opentraits.org/datasets/jeppsson-2014 |  https://opentraits.org/datasets/passerine-morphology |  https://opentraits.org/datasets/sohlstrom-2018 |  https://opentraits.org/datasets/try
"
{p_Am},1,https://opentraits.org/datasets/amp
Reproduction,8,https://opentraits.org/datasets/amp |  https://opentraits.org/datasets/amphi-bio |  https://opentraits.org/datasets/austraits |  https://opentraits.org/datasets/betydb |  https://opentraits.org/datasets/bien |  https://opentraits.org/datasets/catching-crabs |  https://opentraits.org/datasets/columbian-anurans |  https://opentraits.org/datasets/try
Morphology,9,https://opentraits.org/datasets/amp |  https://opentraits.org/datasets/austraits |  https://opentraits.org/datasets/australian-birds |  https://opentraits.org/datasets/avonet |  https://opentraits.org/datasets/bernhardt-2018 |  https://opentraits.org/datasets/beukhof-2019 |  https://opentraits.org/datasets/bien |  https://opentraits.org/datasets/chinaroots |  https://opentraits.org/datasets/try
Physiology,5,https://opentraits.org/datasets/amp |  https://opentraits.org/datasets/austraits |  https://opentraits.org/datasets/betydb |  https://opentraits.org/datasets/bien |  https://opentraits.org/datasets/try
Phenology? and/or Reproduction/Life cycle?,1,https://opentraits.org/datasets/amp
scaled functional response for OB  data,1,https://opentraits.org/datasets/amp
scaled functional response for SO  data,1,https://opentraits.org/datasets/amp
scaled functional response for f_tL,1,https://opentraits.org/datasets/amp
scaled functional response for Otocac,1,https://opentraits.org/datasets/amp
scaled functional response for tL_16,1,https://opentraits.org/datasets/amp
scaled functional response for tL_22,1,https://opentraits.org/datasets/amp
maturity at puberty from  males,1,https://opentraits.org/datasets/amp
Arrhenius temperature  at upper boundary,1,https://opentraits.org/datasets/amp
sc. func. res. HopGrah1995,1,https://opentraits.org/datasets/amp
initial length  for tL and tWw data,1,https://opentraits.org/datasets/amp
scaled functional response for tL_20,1,https://opentraits.org/datasets/amp
scaled functional response for tL_25,1,https://opentraits.org/datasets/amp
shape coefficient for straight  carapace length,1,https://opentraits.org/datasets/amp
conversion efficiency from larval reserve to larval structure,1,https://opentraits.org/datasets/amp
sc. funct. res.  0.1 mg tetramin per ind,1,https://opentraits.org/datasets/amp
sc. funct. res.  0.2 mg tetramin per ind,1,https://opentraits.org/datasets/amp
sc. funct. res.  0.3 mg tetramin per ind,1,https://opentraits.org/datasets/amp
sc. funct. res.  0.4 mg tetramin per ind,1,https://opentraits.org/datasets/amp
initial length tL (gaia2016,1,https://opentraits.org/datasets/amp
initial length tL_c (gaia2016,1,https://opentraits.org/datasets/amp
initial length tL_w (gaia2016,1,https://opentraits.org/datasets/amp
lower boundary  temperature,1,https://opentraits.org/datasets/amp
scaled functional response for tL data (gaia2016 semifield winter,1,https://opentraits.org/datasets/amp
rate of egg production,1,https://opentraits.org/datasets/amp
scaled func res,1,https://opentraits.org/datasets/amp
scaled functional response for tW_a data,1,https://opentraits.org/datasets/amp
scaled functional response for tW_u data,1,https://opentraits.org/datasets/amp
initial energy in the repro buffer,1,https://opentraits.org/datasets/amp
sc. func. resp.,1,https://opentraits.org/datasets/amp
increase in filtration rate at low food density,1,https://opentraits.org/datasets/amp
scaled functional response for tL_f,1,https://opentraits.org/datasets/amp
scaled functional response for tL_SK1,1,https://opentraits.org/datasets/amp
scaled functional response for tL_SK2,1,https://opentraits.org/datasets/amp
