Trait_category,Dataset,Number_of_traits,Number_of_species,Number_of_records
UNCATEGORIZED_TRAIT,https://opentraits.org/datasets/amp,1499,3393,66319
{p_Am},https://opentraits.org/datasets/amp,1,3393,3433
Reproduction,https://opentraits.org/datasets/amp,4,3373,3423
Morphology,https://opentraits.org/datasets/amp,133,2387,2588
Physiology,https://opentraits.org/datasets/amp,8,12,14
Phenology? and/or Reproduction/Life cycle?,https://opentraits.org/datasets/amp,3,25,26
scaled functional response for OB  data,https://opentraits.org/datasets/amp,1,1,1
scaled functional response for SO  data,https://opentraits.org/datasets/amp,1,1,1
scaled functional response for f_tL,https://opentraits.org/datasets/amp,1,1,1
scaled functional response for Otocac,https://opentraits.org/datasets/amp,1,1,2
scaled functional response for tL_16,https://opentraits.org/datasets/amp,1,2,2
scaled functional response for tL_22,https://opentraits.org/datasets/amp,1,1,1
maturity at puberty from  males,https://opentraits.org/datasets/amp,1,7,7
Arrhenius temperature  at upper boundary,https://opentraits.org/datasets/amp,1,1,1
sc. func. res. HopGrah1995,https://opentraits.org/datasets/amp,1,1,1
initial length  for tL and tWw data,https://opentraits.org/datasets/amp,1,1,1
scaled functional response for tL_20,https://opentraits.org/datasets/amp,1,1,1
scaled functional response for tL_25,https://opentraits.org/datasets/amp,1,1,1
shape coefficient for straight  carapace length,https://opentraits.org/datasets/amp,1,1,1
conversion efficiency from larval reserve to larval structure,https://opentraits.org/datasets/amp,1,1,1
sc. funct. res.  0.1 mg tetramin per ind,https://opentraits.org/datasets/amp,1,1,1
sc. funct. res.  0.2 mg tetramin per ind,https://opentraits.org/datasets/amp,1,1,1
sc. funct. res.  0.3 mg tetramin per ind,https://opentraits.org/datasets/amp,1,1,1
sc. funct. res.  0.4 mg tetramin per ind,https://opentraits.org/datasets/amp,1,1,1
initial length tL (gaia2016,https://opentraits.org/datasets/amp,1,1,1
initial length tL_c (gaia2016,https://opentraits.org/datasets/amp,1,1,1
initial length tL_w (gaia2016,https://opentraits.org/datasets/amp,1,1,1
lower boundary  temperature,https://opentraits.org/datasets/amp,1,1,1
scaled functional response for tL data (gaia2016 semifield winter,https://opentraits.org/datasets/amp,1,1,2
rate of egg production,https://opentraits.org/datasets/amp,1,1,1
scaled func res,https://opentraits.org/datasets/amp,1,1,2
scaled functional response for tW_a data,https://opentraits.org/datasets/amp,1,1,1
scaled functional response for tW_u data,https://opentraits.org/datasets/amp,1,1,1
initial energy in the repro buffer,https://opentraits.org/datasets/amp,1,1,2
sc. func. resp.,https://opentraits.org/datasets/amp,1,1,2
increase in filtration rate at low food density,https://opentraits.org/datasets/amp,1,1,1
scaled functional response for tL_f,https://opentraits.org/datasets/amp,1,4,4
scaled functional response for tL_SK1,https://opentraits.org/datasets/amp,1,1,1
scaled functional response for tL_SK2,https://opentraits.org/datasets/amp,1,1,1
scaled functional response for tL_SK3,https://opentraits.org/datasets/amp,1,1,1
Interaction,https://opentraits.org/datasets/amp,1,1,1
Reproduction? and/or Phenology?,https://opentraits.org/datasets/amp,1,2,2
scaled functional response for tL  data,https://opentraits.org/datasets/amp,1,2,2
scaled functional response for tW,https://opentraits.org/datasets/amp,1,2,2
scaled functional response for tL_f1,https://opentraits.org/datasets/amp,1,1,1
scaled functional response for tL_f2,https://opentraits.org/datasets/amp,1,1,1
scaled functional response for tL_f3,https://opentraits.org/datasets/amp,1,1,1
scaled functional response for tL_T*,https://opentraits.org/datasets/amp,1,1,1
scaled functional response for tW  data,https://opentraits.org/datasets/amp,1,1,1
initial  length for tL2 data,https://opentraits.org/datasets/amp,1,1,1
initial  length for tL3 data,https://opentraits.org/datasets/amp,1,1,1
initial  length for tL4 data,https://opentraits.org/datasets/amp,1,1,1
initial  length for tL5 data,https://opentraits.org/datasets/amp,1,1,1
initial  length for tL6 data,https://opentraits.org/datasets/amp,1,1,1
initial  length for tL7 data,https://opentraits.org/datasets/amp,1,1,1
scaled functional response for tW_f,https://opentraits.org/datasets/amp,1,4,14
scaled functional response for tW  data at 17 d,https://opentraits.org/datasets/amp,1,1,1
scaled functional response for tW  data from 0-8 d,https://opentraits.org/datasets/amp,1,1,1
scaled functional response for tW3 data  from 0-6 d,https://opentraits.org/datasets/amp,1,1,1
Morphology/Body size?,https://opentraits.org/datasets/amp,3,2,3
Arrhenius temperature  at high temp boundary,https://opentraits.org/datasets/amp,1,1,1
Arrhenius temperature  at low temp boundary,https://opentraits.org/datasets/amp,1,1,1
