datasetId,traitNameVerbatim
https://opentraits.org/datasets/amp,age at switch from zooplankton to fish
https://opentraits.org/datasets/amp,allocation fraction of milk (vs fetus)
https://opentraits.org/datasets/amp,allocation fraction of milk (vs foetus)
https://opentraits.org/datasets/amp,allocation fraction to soma
https://opentraits.org/datasets/amp,allocation fraction to soma at birth till metam
https://opentraits.org/datasets/amp,allocation fraction to soma at hatch and after metam
https://opentraits.org/datasets/amp,allocation fraction to soma before h and after j
https://opentraits.org/datasets/amp,allocation fraction to soma beteen b and j
https://opentraits.org/datasets/amp,amplitude of scaled functional response for tW data
https://opentraits.org/datasets/amp,arm length at time zero in tL data
https://opentraits.org/datasets/amp,Arrhenius temp
https://opentraits.org/datasets/amp,Arrhenius temp at upper boundary
https://opentraits.org/datasets/amp,Arrhenius temperature
https://opentraits.org/datasets/amp,Arrhenius Temperature
https://opentraits.org/datasets/amp,Arrhenius temperature 1st instar
https://opentraits.org/datasets/amp,Arrhenius temperature 2nd instar
https://opentraits.org/datasets/amp,Arrhenius temperature 3rd instar
https://opentraits.org/datasets/amp,Arrhenius temperature 4th instar
https://opentraits.org/datasets/amp,Arrhenius temperature 5th instar
https://opentraits.org/datasets/amp,Arrhenius temperature 5th instar and higher
https://opentraits.org/datasets/amp,Arrhenius temperature above the upper boundary
https://opentraits.org/datasets/amp,Arrhenius temperature at high boundary
https://opentraits.org/datasets/amp,Arrhenius temperature  at high temp boundary
https://opentraits.org/datasets/amp,Arrhenius temperature at low boundary
https://opentraits.org/datasets/amp,Arrhenius temperature at lower  boundary
https://opentraits.org/datasets/amp,Arrhenius temperature at lower boundary
https://opentraits.org/datasets/amp,Arrhenius temperature at lower boundary temperature
https://opentraits.org/datasets/amp,Arrhenius temperature  at low temp boundary
https://opentraits.org/datasets/amp,Arrhenius temperature  at upper boundary
https://opentraits.org/datasets/amp,Arrhenius temperature at upper boundary
https://opentraits.org/datasets/amp,Arrhenius temperature at upper boundary 5th instar and higher
https://opentraits.org/datasets/amp,Arrhenius temperature at upper boundary egg
https://opentraits.org/datasets/amp,Arrhenius temperature below the lower boundary
https://opentraits.org/datasets/amp,Arrhenius temperature egg
https://opentraits.org/datasets/amp,Arrhenius temperature for 1st instar
https://opentraits.org/datasets/amp,Arrhenius temperature for fast development
https://opentraits.org/datasets/amp,Arrhenius temperature for high end of range
https://opentraits.org/datasets/amp,Arrhenius temperature for larval mortality
https://opentraits.org/datasets/amp,Arrhenius temperature for low end of range
https://opentraits.org/datasets/amp,Arrhenius temperature for lower boundary
https://opentraits.org/datasets/amp,Arrhenius temperature for T_H
https://opentraits.org/datasets/amp,Arrhenius temperature for T_L
https://opentraits.org/datasets/amp,Arrhenius temperature for upper boundary
https://opentraits.org/datasets/amp,Arrhenius temperature high boundary
https://opentraits.org/datasets/amp,Arrhenius temperature pupa
https://opentraits.org/datasets/amp,Arrh. temp for lower boundary
https://opentraits.org/datasets/amp,Arrh. temp for upper boundary
https://opentraits.org/datasets/amp,ash-free dry - dry weight ratio
https://opentraits.org/datasets/amp,background hazard during larval stage
https://opentraits.org/datasets/amp,background hazard rate
https://opentraits.org/datasets/amp,background hazard rate coefficient
https://opentraits.org/datasets/amp,background hazard rate (Wage2015)
https://opentraits.org/datasets/amp,bell diameter of ephedra neonate
https://opentraits.org/datasets/amp,body length at 0 in tL_f data
https://opentraits.org/datasets/amp,body length at 0 in tL_m data
https://opentraits.org/datasets/amp,body length at time zero
https://opentraits.org/datasets/amp,carbon density of structure
https://opentraits.org/datasets/amp,CCL shape coefficient of adults
https://opentraits.org/datasets/amp,chem coeff for Carb in reserve
https://opentraits.org/datasets/amp,chem coeff for Carb in structure
https://opentraits.org/datasets/amp,chem coeff for Glyc in reserve
https://opentraits.org/datasets/amp,chem coeff for Glyc in structure
https://opentraits.org/datasets/amp,chem coeff for Lipi in reserve
