resolvedTraitName;resolvedName;datasetId
[E_G];1;amp
[p_M];1;amp
{F_m};1;amp
{p_Am};1;amp
{p_T};1;amp
allocation fraction to soma;1;amp
Arrhenius temperature;1;amp
digestion efficiency of food to reserve;1;amp
energy conductance;1;amp
faecation efficiency of food to faeces;1;amp
Gompertz stress coefficient;1;amp
maturity at birth;1;amp
maturity at metamorphosis;1;amp
maturity at puberty;1;amp
maturity maint rate coefficient;1;amp
Reference temperature;1;amp
reproduction efficiency;1;amp
scaled functional response;1;amp
shape coefficient;1;amp
shape coefficient for egg/larva;1;amp
Weibull aging acceleration;1;amp
maturity at metam;1;amp
scaled functional response for 0-var data;1;amp
maturity at puberty for males;1;amp
scaled functional response for tL and tWw data;1;amp
Weibull aging acceleration for female;1;amp
zoom factor for male;1;amp
Arrhenius temp;1;amp
scaled functional response for tL1 data;1;amp
scaled functional response for tL_D data;1;amp
scaled functional response for tL_H data;1;amp
scaled functional response for tL data;1;amp
shape coefficient after metam;1;amp
maturity at fledging;1;amp
time at start development at T;1;amp
time between clutches at T;1;amp
scaled functional response for tW data;1;amp
shape parameter for ability to maintain target temp;1;amp
zoom factor for males;1;amp
scaled functional response for 1-var data;1;amp
maturity at puberty for female;1;amp
maturity at puberty for male;1;amp
scaled functional response for tL and tW data;1;amp
maturity at weaning;1;amp
time at start development;1;amp
maturity at hatch;1;amp
structural length at 0 in tL and tW data;1;amp
{F_M};1;amp
maturity at hatching;1;amp
maturity at metamorhosis;1;amp
scaled functional response for 0-var and tW6 data;1;amp
time at first eye opening;1;amp
initial length for tL data;1;amp
scaled functional response for tL;1;amp
fraction of wet weight that is wet tissue;1;amp
non-ash fraction for WdWa;1;amp
scaled functional response at Explorer Cove;1;amp
scaled functional response at Terra Nova Bay in December;1;amp
scaled functional response at Terra Nova Bay in January;1;amp
scaled functional response for respiro data;1;amp
scaled functional response from experiment Chiantore;1;amp
shape coefficient guessed;1;amp
conversion efficient E -> V -> E;1;amp
maturity at emergence;1;amp
reproduction buffer density at pupation;1;amp
shape coefficient for head capsule of larva;1;amp
scaled functional response for tW data at 00 d;1;amp
scaled functional response for tW data at 10 d;1;amp
scaled functional response for tW data at 20 d;1;amp
scaled functional response for tW data at 50 d;1;amp
initial shell height for tL data;1;amp
scaled functional response for LL data;1;amp
scaled functional response for tW data at 30 d;1;amp
scaled functional response for tW2 data;1;amp
scaled functional response for tW3 data;1;amp
scaled functional response for tW_66 data at 00 d;1;amp
scaled functional response for tW_66 data at 10 d;1;amp
scaled functional response for tW_66 data at 20 d;1;amp
scaled functional response for tW_66 data at 30 d;1;amp
scaled functional response for tW_67 data at 00 d;1;amp
scaled functional response for tW_67 data at 10 d;1;amp
scaled functional response for tW_67 data at 20 d;1;amp
scaled functional response for tW_67 data at 30 d;1;amp
scaled functional response for tW data at 05 d;1;amp
scaled functional response for tW data at 15 d;1;amp
scaled functional response for tWw data;1;amp
Arrhenius temperature for T_H;1;amp
Arrhenius temperature for T_L;1;amp
intial dry weight for tWd_a data;1;amp
intial dry weight for tWd_d data;1;amp
intial dry weight for tWd_p data;1;amp
intial dry weight for tWd_t data;1;amp
intial wet weight for tWw_d* data;1;amp
low boundary temperature;1;amp
upper boundary temperature;1;amp
scaled functional response for tL2 data;1;amp
maturity at S2/S3 transition;1;amp
period of metamorphosis;1;amp
specific shrinking rate from s to j;1;amp
scaled functional response for tL81 data;1;amp
scaled functional response for tL82 data;1;amp
maturity at puberty for maless;1;amp
scaled functional response for OB  data;1;amp
scaled functional response for SO  data;1;amp
time at start developmentat T;1;amp
scaled functional response for tW data at 25 d;1;amp
scaled functional response for tW1 data at 00 d;1;amp
