resolvedTraitName,datasetId,resolvedName,numberOfRecords
UNCATEGORIZED_TRAIT,https://opentraits.org/datasets/amp,66319,66319
{p_Am},https://opentraits.org/datasets/amp,3433,3433
Reproduction,https://opentraits.org/datasets/amp,3423,3423
Morphology,https://opentraits.org/datasets/amp,2588,2588
Physiology,https://opentraits.org/datasets/amp,14,14
Phenology? and/or Reproduction/Life cycle?,https://opentraits.org/datasets/amp,26,26
scaled functional response for OB  data,https://opentraits.org/datasets/amp,1,1
scaled functional response for SO  data,https://opentraits.org/datasets/amp,1,1
scaled functional response for f_tL,https://opentraits.org/datasets/amp,1,1
scaled functional response for Otocac,https://opentraits.org/datasets/amp,2,2
scaled functional response for tL_16,https://opentraits.org/datasets/amp,2,2
scaled functional response for tL_22,https://opentraits.org/datasets/amp,1,1
maturity at puberty from  males,https://opentraits.org/datasets/amp,7,7
Arrhenius temperature  at upper boundary,https://opentraits.org/datasets/amp,1,1
sc. func. res. HopGrah1995,https://opentraits.org/datasets/amp,1,1
initial length  for tL and tWw data,https://opentraits.org/datasets/amp,1,1
scaled functional response for tL_20,https://opentraits.org/datasets/amp,1,1
scaled functional response for tL_25,https://opentraits.org/datasets/amp,1,1
shape coefficient for straight  carapace length,https://opentraits.org/datasets/amp,1,1
conversion efficiency from larval reserve to larval structure,https://opentraits.org/datasets/amp,1,1
sc. funct. res.  0.1 mg tetramin per ind,https://opentraits.org/datasets/amp,1,1
sc. funct. res.  0.2 mg tetramin per ind,https://opentraits.org/datasets/amp,1,1
sc. funct. res.  0.3 mg tetramin per ind,https://opentraits.org/datasets/amp,1,1
sc. funct. res.  0.4 mg tetramin per ind,https://opentraits.org/datasets/amp,1,1
initial length tL (gaia2016,https://opentraits.org/datasets/amp,1,1
initial length tL_c (gaia2016,https://opentraits.org/datasets/amp,1,1
initial length tL_w (gaia2016,https://opentraits.org/datasets/amp,1,1
lower boundary  temperature,https://opentraits.org/datasets/amp,1,1
scaled functional response for tL data (gaia2016 semifield winter,https://opentraits.org/datasets/amp,2,2
rate of egg production,https://opentraits.org/datasets/amp,1,1
scaled func res,https://opentraits.org/datasets/amp,2,2
scaled functional response for tW_a data,https://opentraits.org/datasets/amp,1,1
scaled functional response for tW_u data,https://opentraits.org/datasets/amp,1,1
initial energy in the repro buffer,https://opentraits.org/datasets/amp,2,2
sc. func. resp.,https://opentraits.org/datasets/amp,2,2
increase in filtration rate at low food density,https://opentraits.org/datasets/amp,1,1
